"Word","Word_Chinese","traditional","pinyin","pos","radical_1","character_type_1","radical_2","character_type_2","Auditory.mean","Gustatory.mean","Haptic.mean","Interoceptive.mean","Olfactory.mean","Visual.mean","Foot_leg.mean","Hand_arm.mean","Head.mean","Mouth.mean","Torso.mean","Auditory.SD","Gustatory.SD","Haptic.SD","Interoceptive.SD","Olfactory.SD","Visual.SD","Foot_leg.SD","Hand_arm.SD","Head.SD","Mouth.SD","Torso.SD","perceptual_mean","Dominant.perceptual","Max_strength.perceptual","Minkowski3.perceptual","perceptual_SUM","Exclusivity.perceptual","action_mean","action_SUM","Max_strength.action","Minkowski3.action","Exclusivity.action","Dominant.action","Max_strength.sensorimotor","Dominant.sensorimotor","Minkowski3.sensorimotor","sum_sensorimotor","Exclusivity.sensorimotor","concrete/abstract","concreteness","RT","RTSD","zRT","zRTSD","ERR","tstroke","wfreq","wfreq/mil","cd"
"ghost","幽灵","幽靈","yōulíng","N","幺","compound_ideograph","雨","phono-semantic",2.47619047619048,0.761904761904762,1.33333333333333,3.33333333333333,0.952380952380952,3.04761904761905,1.71428571428571,1.66666666666667,1.76190476190476,1.80952380952381,2.28571428571429,2.06443812256623,1.33808676492827,1.95789002074512,1.82574185835055,1.49920613913466,2.10893789562876,1.95301964001536,1.74164673034842,1.72929933512859,1.91361039971692,1.8205179796656,1.98412698412698,"interoceptive",3.33333333333333,4.38303678528592,11.9047619047619,0.216,1.84761904761905,9.23809523809524,2.28571428571429,3.20765677179444,0.0670103092783506,"torso",3.33333333333333,"interoceptive",4.89384690947689,21.1428571428571,0.121621621621621,"abstract",3.88,711.97,206.98,-0.506,0.625,0,16,14,0.42,13
"drive","驱动","驅動","qūdòng","Nv","馬","phono-semantic","力","phono-semantic",2.57142857142857,0.571428571428571,2.0952380952381,3.28571428571429,0.571428571428571,2.52380952380952,2.57142857142857,2.52380952380952,1.76190476190476,1.61904761904762,2.19047619047619,1.56752762563945,1.02817452659695,1.94691453086061,1.23056316956332,0.925820099772551,1.47034171603228,1.5023790657297,1.36451631060415,1.30018313728343,1.4309504001254,1.40068010691405,1.93650793650794,"interoceptive",3.28571428571429,4.27488939709413,11.6190476190476,0.23360655737705,2.13333333333333,10.6666666666667,2.57142857142857,3.76341744381486,0.0892857142857141,"leg/foot",3.28571428571429,"interoceptive",5.08423536672084,22.2857142857143,0.121794871794872,"abstract",3.84,699.06,190.32,-0.416,0.582,0,25,2,0.06,2
"sophistry","诡辩","詭辯","guǐbiàn","Nv","言","phono-semantic","言","phono-semantic",4.42857142857143,0.285714285714286,0.523809523809524,3.23809523809524,0.285714285714286,2.57142857142857,1.0952380952381,1.9047619047619,1.76190476190476,3.38095238095238,1.47619047619048,0.870139561876633,0.717137165600636,1.12334534400814,1.84132457499382,0.560611910581388,1.6604646509766,1.67047184665776,1.97242900771515,1.60949563232591,1.80211515936664,1.72101852456758,1.88888888888889,"auditory",4.42857142857143,5.16764655670417,11.3333333333333,0.365546218487395,1.92380952380952,9.61904761904762,3.38095238095238,3.81576852766539,0.237623762376237,"mouth/throat",4.42857142857143,"auditory",5.78455776438763,20.952380952381,0.197727272727273,"abstract",3.807692,797.77,282.76,-0.098,0.973,4.88,13,296,8.82,245
"answer","答案","答案","dá'àn","N","竹","phono-semantic","木","phono-semantic",3.14285714285714,0.476190476190476,1.28571428571429,3.42857142857143,0.476190476190476,3.71428571428571,0.80952380952381,1.80952380952381,1.76190476190476,1.9047619047619,1.33333333333333,1.87844920840874,0.749603069567329,1.45405835999994,1.39897921969658,0.749603069567329,1.45405835999994,0.813575295780767,1.47034171603228,1.51343192462568,1.64026710949046,1.39044357430761,2.08730158730159,"visual",3.71428571428571,4.99906976179435,12.5238095238095,0.258555133079848,1.52380952380952,7.61904761904761,1.9047619047619,2.76792187953644,0.143749999999999,"mouth/throat",3.71428571428571,"visual",5.26727645903768,20.1428571428571,0.160756501182033,"concrete",2.153846,648.12,210.23,-0.653,0.638,0,13,389,11.6,281
"short film","短片","短片","duǎnpiàn","N","矢","phono-semantic","片","ideograph",4.33333333333333,0.952380952380952,1.0952380952381,3,0.523809523809524,4.66666666666667,1.33333333333333,1.80952380952381,1.76190476190476,1.28571428571429,1.28571428571429,0.795822425754222,1.4309504001254,1.44584791402007,1.14017542509914,0.813575295780767,0.577350269189627,1.77012240631357,1.56904581255767,1.30018313728343,1.52127765851133,1.64750894209583,2.42857142857143,"visual",4.66666666666667,5.96574318761591,14.5714285714286,0.284313725490196,1.4952380952381,7.47619047619048,1.80952380952381,2.62150104614216,0.0700636942675154,"hand/arm",4.66666666666667,"visual",6.12991668210582,22.0476190476191,0.187904967602592,"concrete",1.806452,809.69,397.4,-0.202,1.213,2.38,24,7,0.21,5
"temperament","性情","性情","xìngqíng","N","忄","phono-semantic","忄","phono-semantic",2.0625,0.625,1.3125,3,0.625,2.25,1.5,2,1.75,1.9375,1.9375,2.04837333836714,1.08781125813871,1.66207701385947,1.50554530541816,1.08781125813871,1.94935886896179,1.82574185835055,2,1.84390889145858,1.842778698958,1.842778698958,1.64583333333333,"interoceptive",3,3.68190763912569,9.875,0.240506329113924,1.825,9.125,2,3.15083581478206,0.0547945205479452,"hand/arm",3,"interoceptive",4.33020620561111,19,0.125,"abstract",3.72,863.56,338.45,0.075,0.918,2.44,20,3,0.09,3
"data","数据","數據","shùjù","N","攴","phono-semantic","扌","phono-semantic",2.5625,0.75,0.875,2.625,0.6875,3.875,1.125,1.9375,1.75,1.5625,1.25,2.25,1.34164078649987,1.25830573921179,1.66833250083229,1.25,1.20415945787923,1.62788205960997,1.76894507169292,1.69312334656004,1.75,1.57056253191863,1.89583333333333,"visual",3.875,4.55515017299758,11.375,0.28021978021978,1.525,7.625,1.9375,2.70644180876969,0.10655737704918,"hand/arm",3.875,"visual",4.8536348606199,19,0.167763157894737,"concrete",2.6,648.31,160.27,-0.623,0.545,0,7,31,0.92,10
"metaphor","暗喻","暗喻","ànyù","Nv","日","phono-semantic","口","phono-semantic",1.65217391304348,0.347826086956522,0.608695652173913,2.78260869565217,0.434782608695652,1.43478260869565,1.26086956521739,1.17391304347826,1.73913043478261,1.60869565217391,1.04347826086957,1.99108685834404,0.714059817469728,0.98807114368361,1.83294402382244,0.787752092782872,1.77932793636764,1.60162960490381,1.49703263804354,1.83940186187961,1.58799846676084,1.49174275352279,1.21014492753623,"interoceptive",2.78260869565217,3.08493696769381,7.26086956521739,0.335329341317365,1.36521739130435,6.82608695652174,1.73913043478261,2.42052541062908,0.101910828025477,"head",2.78260869565217,"interoceptive",3.51801757919197,14.0869565217391,0.172839506172839,"abstract",4.36,913.99,322.15,0.36,1.39,12.2,9,107,3.19,83
"meaning","含义","含義","hányì","N","口","phono-semantic","羊","compound_ideograph",1.30434782608696,0.652173913043478,0.652173913043478,2.56521739130435,0.565217391304348,1.60869565217391,1.1304347826087,1.08695652173913,1.73913043478261,1.1304347826087,0.826086956521739,1.57926284900426,1.22877232346961,1.26522350350995,1.70096461821258,1.07981845934321,1.99406233227054,1.84154944213455,1.72976728540578,1.9821336370035,1.54638428206772,1.37020814321446,1.22463768115942,"interoceptive",2.56521739130435,2.8844036486598,7.34782608695652,0.272189349112426,1.18260869565218,5.91304347826088,1.73913043478261,2.15423398976698,0.154411764705882,"head",2.56521739130435,"interoceptive",3.23944733688321,13.2608695652174,0.150819672131148,"abstract",4,675.31,166.73,-0.581,0.535,2.5,20,77,2.3,64
"sign","招牌","招牌","zhāopái","N","扌","phono-semantic","片","phono-semantic",1.69565217391304,1.04347826086957,1.21739130434783,2.43478260869565,1.04347826086957,4.26086956521739,1.26086956521739,1.26086956521739,1.73913043478261,1.26086956521739,1.30434782608696,1.66336959782615,1.42950280198031,1.41281542702153,1.72748074470315,1.36442664846865,1.21421097853514,1.48377256601812,1.48377256601812,1.7113894223527,1.45281517639337,1.18455141523531,1.94927536231884,"visual",4.26086956521739,4.65303959555506,11.6956521739131,0.275092936802973,1.36521739130435,6.82608695652174,1.73913043478261,2.38067869071515,0.0700636942675163,"head",4.26086956521739,"visual",4.85213330595957,18.5217391304348,0.173708920187793,"concrete",2.478261,728.55,352.29,-0.282,1.181,0,16,541,16.13,326
"acrimonious","尖酸","尖酸","jiānsuān","Nadj","小","compound_ideograph","酉","phono-semantic",1.84210526315789,1.73684210526316,0.842105263157895,3.05263157894737,1.78947368421053,2.31578947368421,1.78947368421053,1.63157894736842,1.73684210526316,2.10526315789474,1.31578947368421,1.50048725029708,1.88096031215612,1.21395395733377,1.68238204838412,1.84327448273811,1.24956132653501,1.78197603701375,1.53516290542692,1.55785127171862,1.82253598782043,1.45497734151687,1.92982456140351,"interoceptive",3.05263157894737,3.88601588218514,11.5789473684211,0.190909090909091,1.71578947368421,8.57894736842106,2.10526315789474,2.9971029253586,0.0920245398773009,"mouth/throat",3.05263157894737,"interoceptive",4.40723747689169,20.1578947368421,0.109660574412533,"abstract",4.111111,835.6,280.3,0.071,0.883,14.63,22,11,0.33,10
"bright light","亮光","亮光","liàngguāng","N","亠","ideograph","儿","compound_ideograph",1.36842105263158,0.631578947368421,1.57894736842105,2.89473684210526,0.736842105263158,4.89473684210526,1.10526315789474,1.42105263157895,1.73684210526316,0.842105263157895,1.05263157894737,1.46099381380504,0.83069758608784,1.57465302963627,1.19697474409935,0.991189255566704,0.315301767642306,1.24252148839479,1.53896752812773,1.59311383645565,1.06787212586198,1.35292621998583,2.01754385964912,"visual",4.89473684210526,5.29763333046816,12.1052631578947,0.352173913043478,1.23157894736842,6.15789473684212,1.73684210526316,2.23889328028588,0.145299145299145,"head",4.89473684210526,"visual",5.42770877405391,18.2631578947368,0.23342939481268,"concrete",2.076923,843.55,350.29,0.12,1.12,7.32,13,310,9.24,270
"great master","巨匠","巨匠","jùjiàng","N","工","ideograph","匚","compound_ideograph",2.53333333333333,1.06666666666667,1.33333333333333,2.93333333333333,1.06666666666667,3.33333333333333,1.33333333333333,1.93333333333333,1.73333333333333,1.46666666666667,1.46666666666667,1.72654347786332,1.48644670591441,1.71824938596845,1.22279928657082,1.43759057685652,1.58865022072498,1.75932887637249,1.86955558762988,1.48644670591441,1.55226409142382,1.40746310109799,2.04444444444444,"visual",3.33333333333333,4.3678919701107,12.2666666666667,0.184782608695652,1.58666666666667,7.93333333333333,1.93333333333333,2.76392366965295,0.0756302521008404,"hand/arm",3.33333333333333,"visual",4.7093988938888,20.2,0.112211221122112,"abstract",3.769231,993.05,329.07,0.523,1.001,23.81,15,5,0.15,5
"piercingly cold","凛冽","凜冽","lǐnliè","Nadj","冫","phono-semantic","冫","phono-semantic",2.8,0.733333333333333,3.26666666666667,3.73333333333333,0.733333333333333,3.66666666666667,2.2,2.06666666666667,1.73333333333333,1.2,2.26666666666667,1.42427926635594,1.33452327853522,1.70991506333196,1.48644670591441,1.22279928657082,1.3451854182691,1.8205179796656,1.66761877566558,1.75119007154183,1.65615734242165,1.83095083286825,2.48888888888889,"interoceptive",3.73333333333333,5.41671058478527,14.9333333333333,0.200892857142857,1.89333333333333,9.46666666666667,2.26666666666667,3.36363482237286,0.112676056338029,"torso",3.73333333333333,"interoceptive",5.81851659216375,24.4,0.122950819672131,"abstract",3.73913,897.22,253.54,0.149,0.867,9.52,20,1080,32.19,823
"patience","耐性","耐性","nàixìng","N","而","compound_ideograph","忄","phono-semantic",1.66666666666667,1,1.13333333333333,3.66666666666667,1,2.46666666666667,1.73333333333333,1.8,1.73333333333333,1.4,1.8,1.98805959477601,1.30930734141595,1.24594580635795,1.3451854182691,1.51185789203691,2.06559111797729,1.83095083286825,1.61245154965971,1.75119007154183,1.63881490282286,1.85933936040274,1.82222222222222,"interoceptive",3.66666666666667,4.1676641167589,10.9333333333333,0.24390243902439,1.69333333333333,8.46666666666666,1.8,2.91711666526217,0.047244094488189,"hand/arm+torso",3.66666666666667,"interoceptive",4.598066820533,19.4,0.13745704467354,"abstract",3.692308,732.32,302.66,-0.426,0.706,2.5,23,3,0.09,3
"group sentiment","群情","群情","qúnqíng","N","羊","phono-semantic","忄","phono-semantic",1.94444444444444,0.611111111111111,0.666666666666667,2.22222222222222,0.611111111111111,2.22222222222222,1,1.38888888888889,1.72222222222222,1.33333333333333,1.16666666666667,1.69678665934179,0.916443823180533,0.90748521297303,1.51679055731872,0.849836585598797,1.92676368573149,1.23669388480168,1.4608172124207,1.60167396093093,1.4950900031928,1.33944676902773,1.37962962962963,"visual/interoceptive",2.22222222222222,3.10903702460412,8.27777777777777,0.194630872483221,1.32222222222222,6.61111111111111,1.72222222222222,2.33590251987618,0.109243697478991,"head",2.22222222222222,"visual/interoceptive",3.49790380532817,14.8888888888889,0.108208955223881,"abstract",3.84375,912.25,398.6,-0.045,0.807,82.5,12,108,3.22,82
