"Word","Word_Italian","Spa_Word","Eng_Trad_Rec","Spa_Trad_Rec","WordClass","Auditory.mean","Gustatory.mean","Haptic.mean","Interoceptive.mean","Olfactory.mean","Visual.mean","Head.mean","Foot_leg.mean","Hand_arm.mean","Mouth.mean","Torso.mean","Auditory.SD","Gustatory.SD","Haptic.SD","Interoceptive.SD","Olfactory.SD","Visual.SD","Head.SD","Foot_leg.SD","Hand_arm.SD","Mouth.SD","Torso.SD","M_Val","SD_Val","M_Aro","SD_Aro","M_Dom","SD_Dom","N_Part","Max_strength.action","Exclusivity.action","Dominant.action","Max_strength.perceptual","Exclusivity.perceptual","Dominant.perceptual","Max_strength.sensorimotor","Exclusivity.sensorimotor","Dominant.sensorimotor"
"damage","danno","daño",NA,NA,"n",1.61904761904762,0.05,1.80952380952381,2.23809523809524,0.476190476190476,2.57142857142857,2.14285714285714,1.57142857142857,1.47619047619048,1.28571428571429,1.0952380952381,1.77415305078763,0.223606797749979,1.83354977077383,1.57812426331902,0.87287156094397,1.7768350675127,1.90488094866095,1.91236577493503,1.72101852456758,1.76473389333512,1.48002573980191,3.12121212121212,1.61550254869761,5.21212121212121,2.1324512854573,4,1.67705098312484,21,2.14285714285714,0.138364779874214,"head",2.57142857142857,0.237833076414887,"vision",2.14285714285714,0.154350677743769,"vision"
"debt","debito","deuda",NA,NA,"n",0.4,0,0,3.38095238095238,0.05,0.952380952380952,1.95238095238095,0,0.428571428571429,0.25,0.05,0.99472291830968,0,0,1.59612626305661,0.223606797749979,1.49920613913466,2.06097526613471,0,0.870139561876632,0.550119604220181,0.223606797749979,1.72727272727273,1.17984975931067,6.54545454545455,2.10788562739581,3.51515151515152,1.9222579841363,21,1.95238095238095,0.728241563055062,"head",0.952380952380952,0.400112707805016,"interoception",1.95238095238095,0.452950558213716,"interoception"
"decide","Decidere","decidir",NA,NA,"v",1.05,0,0.526315789473684,3.5,0.0526315789473684,1.95,3.85,0.210526315789474,0.473684210526316,1.15,0.0526315789473684,1.9324105480761,0,0.964274111134126,1.96012888942485,0.229415733870562,1.8202082009311,1.9269556026896,0.535303379031311,0.84119102419206,1.59851905146443,0.229415733870562,6.23809523809524,1.37494588638106,6.33333333333333,1.55991452757301,7.04761904761905,1.77415305078763,20,3.85,0.661926605504587,"head",1.95,0.359048194474797,"interoception",3.85,0.30041067761807,"head"
"decompose","decomporsi","descomponerse",NA,NA,"v",0.526315789473684,0.333333333333333,2.15789473684211,1.63157894736842,3.26315789473684,4,2.21052631578947,1.15789473684211,1,1.05263157894737,1.36842105263158,0.964274111134126,0.594088525786005,1.86378223259219,1.83213677060388,1.75885395967431,1.45296631451356,2.07039844175037,1.92247403955126,1.91485421551268,1.7786912857656,2.03334771349531,3.73529411764706,1.91182640788952,5.11764705882353,2.0855157908973,4.35294117647059,1.45398830684257,19,2.21052631578947,0.178294573643411,"head",4,0.3192,"vision",2.21052631578947,0.196060037523452,"vision"
"decorate","decorare","decorar",NA,NA,"v",0.0526315789473684,0.1,2.75,1.35,0.35,4.68421052631579,2.45,0.263157894736842,4.1,0.210526315789474,0.5,0.229415733870562,0.307793505625546,1.51744244666721,1.69441808051583,0.745159820370595,0.582392725357819,1.95945749742385,0.65337629647495,0.967906041546987,0.535303379031311,1.05131496607569,6.94117647058824,1.7912443020796,5.52941176470588,2.56119401744751,6.26470588235294,1.95880024395596,20,4.1,0.516963973417279,"hand/arm",4.68421052631579,0.5079563521722,"vision",4.1,0.275516593613024,"vision"
"delight","delizia","delicia",NA,NA,"n",0.8,4.45,1.7,2.4,3.15,2.7,1.7,0.0526315789473684,0.45,3.85,0.210526315789474,1.5078740698501,0.887041208323017,2.02874085917453,1.75918641482512,1.78517285024817,1.75018795983084,1.89459063763403,0.229415733870562,0.944513241388333,1.63111198750713,0.713282503517759,7.96969696969697,0.847232571554606,5.42424242424242,2.48784925978121,5.96969696969697,1.62951005836203,20,3.85,0.606302521008403,"mouth/throat",4.45,0.259944367176634,"taste",3.85,0.204879843060324,"taste"
"demon","demonio","demonio",NA,NA,"n",1.21052631578947,0.0555555555555556,0.222222222222222,3,0.333333333333333,1.52631578947368,2.31578947368421,0.166666666666667,0.333333333333333,1.05263157894737,0.166666666666667,1.90259902263606,0.235702260395516,0.73208449814096,1.6996731711976,0.76696498884737,1.806421294919,1.88716811884154,0.707106781186548,0.970142500145332,1.80965571343546,0.707106781186548,1.77272727272727,1.36166171333576,6.79545454545455,2.1628958350403,4.5,2.42563825213748,19,2.31578947368421,0.532608695652174,"head",1.52631578947368,0.317773549842927,"interoception",2.31578947368421,0.283582089552239,"interoception"
"money","denaro","dinero",NA,NA,"n",0.473684210526316,0,3.5,1.4,1.15,4.2,2.05,0.2,3.2,0.210526315789474,0.157894736842105,0.611775290321498,0,1.63835604381825,1.63514042532326,1.46089374230838,0.83350875346649,2.01246117974981,0.410391340834062,1.54238366446907,0.418853908291695,0.374634324632678,7.72727272727273,1.66344385374002,6.60606060606061,2.17858029946388,5.03030303030303,2.53087001450154,20,3.2,0.522840343735866,"hand/arm",4.2,0.376927315871748,"vision",3.2,0.253897550111359,"vision"
"dentist","dentista","dentista",NA,NA,"n",2.57142857142857,3.19047619047619,3.19047619047619,2.23809523809524,2.23809523809524,3.71428571428571,1.52380952380952,0.15,0.523809523809524,5,0.15,1.5023790657297,1.69171651345749,1.74982992370823,1.99761762869579,1.60949563232591,1.41925533794512,1.74982992370823,0.489360484929593,1.5039630187956,0,0.489360484929593,3.90909090909091,2.0211945163015,6.03030303030303,2.22885688869946,3.96969696969697,2.05372905474482,21,5,0.660077770576798,"mouth/throat",3.71428571428571,0.205804749340369,"vision",5,0.198036165662065,"mouth/throat"
"depression","depressione","depresión",NA,NA,"n",1.04545454545455,0.954545454545455,0.772727272727273,4.76190476190476,0.0952380952380952,0.954545454545455,4.09090909090909,1.45454545454545,1,1.31818181818182,2.09090909090909,1.70370108956865,1.39650150383609,1.47783039757026,0.538958431120796,0.300792603759119,1.52681656762325,1.65929103934384,2.08685848944732,1.66189793967763,1.83579134711161,1.92500070276031,1.88888888888889,1.08963369409246,6.27777777777778,2.50269695798194,3.69444444444444,2.55028787668535,22,4.09090909090909,0.310502283105023,"head",1.04545454545455,0.388761265241209,"interoception",4.09090909090909,0.251722124927029,"interoception"
"mock","deridere","burlarse",NA,NA,"v",3.47619047619048,0,0,3.57142857142857,0,3.66666666666667,3.0952380952381,0,0.428571428571429,3.95238095238095,0.25,1.91361039971692,0,0,1.83225076262581,0,1.55991452757301,2.0713464679952,0,0.746420027292179,1.49920613913466,0.716350399411379,4.125,1.38540782396725,6.28125,1.92159837702384,4.75,1.66559105076459,21,3.95238095238095,0.5115562403698,"mouth/throat",3.66666666666667,0.314285714285714,"vision",3.95238095238095,0.214331826985152,"mouth/throat"
"wishing","Desiderare","desear",NA,NA,"v",0.526315789473684,0.263157894736842,0.55,3.5,0.4,1.85,3.1,0.45,0.45,0.95,0.421052631578947,0.964274111134126,0.561951486949016,0.998683343734455,1.73205080756888,0.882579950158088,1.8144159564879,1.77408241664603,0.6048053188293,0.887041208323017,1.53811230854064,0.768533196975772,7.38095238095238,1.46547570693582,5.76190476190476,2.27826165979156,6.52380952380952,2.06443812256622,20,3.1,0.498775110240078,"head",1.85,0.355022816539767,"interoception",3.1,0.259767687434002,"interoception"
