"Word","Auditory.mean","Gustatory.mean","Haptic.mean","Interoceptive.mean","Olfactory.mean","Visual.mean","Foot_leg.mean","Hand_arm.mean","Head.mean","Mouth.mean","Torso.mean","Auditory.SD","Gustatory.SD","Haptic.SD","Interoceptive.SD","Olfactory.SD","Visual.SD","Foot_leg.SD","Hand_arm.SD","Head.SD","Mouth.SD","Torso.SD","Max_strength.perceptual","Minkowski3.perceptual","Exclusivity.perceptual","Dominant.perceptual","Max_strength.action","Minkowski3.action","Exclusivity.action","Dominant.action","Max_strength.sensorimotor","Minkowski3.sensorimotor","Exclusivity.sensorimotor","Dominant.sensorimotor","N_known.perceptual","List_N.perceptual","Percent_known.perceptual","N_known.action","List_N.action","Percent_known.action","Mean_age.perceptual","Mean_age.action","List#.perceptual","List#.action"
"conscience",0.578947368,0,0,3.684210526,0,0.157894737,0.4,0.35,3.65,0.7,0.55,1.121298329,0,0,1.293257368,0,0.374634325,1.095445115,0.933302004,1.954078057,1.341640786,1.050062655,3.684210526,3.689066279,0.833333333,"Interoceptive",3.65,3.665354099,0.584070796,"Head",3.684210526,4.633042684,0.365821793,"Interoceptive",19,19,1,20,20,1,36.84210526,37.05,"PN_Sample_460.csv","MN_sample_460.csv"
"consciousness",0.971428571,0.257142857,0.428571429,3.742857143,0.314285714,1.4,0.666666667,0.880952381,4.30952381,1.261904762,0.761904762,1.790263114,0.950011057,1.266902529,1.720855757,1.10537267,1.897366596,1.373382271,1.65577159,1.405357263,1.874859654,1.47845542,3.742857143,3.830890511,0.489959839,"Interoceptive",4.30952381,4.370257155,0.46223565,"Head",4.30952381,5.188649689,0.270244522,"Head",35,35,1,42,45,0.933333333333333,34.71428571,38.78571429,"PN_Sample_235.csv","MN_sample_235.csv"
"consequence",2,0.15,0.65,2.35,0.35,2.2,1.1,1.4,2.8,1.95,1.15,1.91942974,0.489360485,1.225818738,1.663066287,1.182103388,1.794729125,1.744163199,1.846761034,2.166734142,2.139232523,1.814415956,2.35,3.173040103,0.285714286,"Interoceptive",2.8,3.269905449,0.202380952,"Head",2.8,4.059718569,0.164596273,"Head",20,20,1,20,20,1,31.8,34.85,"PN_Sample_113.csv","MN_sample_113.csv"
"contact",2,0.2,3.866666667,1.933333333,0.4,2.666666667,2.428571429,3.80952381,2.333333333,2.285714286,1.666666667,1.812653934,0.560611911,1.684664726,2.153623746,0.632455532,1.759328876,1.804755623,1.470341716,1.932183566,2.10102016,1.622754859,3.866666667,4.515539631,0.331325301,"Haptic",3.80952381,4.624261321,0.171102662,"Hand_arm",3.866666667,5.758528411,0.155429956,"Haptic",15,15,1,21,21,1,37.33333333,36.47619048,"PN_Sample_251.csv","MN_sample_251.csv"
"contemplate",1.5625,0.0625,0.375,3.0625,0.0625,1.6875,0.117647059,0.176470588,3.352941176,0.882352941,0.117647059,1.75,0.25,0.885061203,1.569235483,0.25,1.621470526,0.48507125,0.727606875,2.343639703,1.409004655,0.48507125,3.0625,3.344074778,0.440366972,"Interoceptive",3.352941176,3.373443322,0.696202532,"Head",3.352941176,4.231852112,0.287135066,"Head",16,16,1,17,18,0.944444444444444,38,36.05882353,"PN_Sample_812.csv","MN_sample_812.csv"
"contempt",1.833333333,0,0.055555556,2.666666667,0.055555556,1.111111111,0.55,1.05,3.4,2.2,0.65,1.947849493,0,0.23570226,2.196253494,0.23570226,1.409584373,1.316894273,1.848897253,2.087557122,2.166734142,1.424411236,2.666666667,2.98125666,0.466019417,"Interoceptive",3.4,3.72172813,0.363057325,"Head",3.4,4.273529653,0.250511666,"Head",18,18,1,20,20,1,35.88888889,37.5,"PN_Sample_582.csv","MN_sample_582.csv"
"content",2.166666667,0.277777778,0.5,2.055555556,0.166666667,3.222222222,0.368421053,0.894736842,2.736842105,1,0.684210526,1.855040827,0.826442095,1.200490096,1.862074183,0.383482494,1.832887646,1.164785451,1.852767805,2.281376418,1.666666667,1.376494403,3.222222222,3.743559539,0.364238411,"Visual",2.736842105,2.826716334,0.416666667,"Head",3.222222222,4.218091222,0.217120299,"Visual",18,18,1,19,19,1,37.05555556,35.10526316,"PN_Sample_713.csv","MN_sample_713.csv"
"context",2.25,0.15,0.15,0.85,0.2,2.45,0.368421053,0.736842105,3.684210526,2.052631579,0.263157895,1.618153594,0.366347549,0.366347549,1.424411236,0.410391341,1.503504678,0.955133866,1.407997209,1.634782744,2.146668846,0.561951487,2.45,2.989803345,0.380165289,"Visual",3.684210526,3.895720152,0.481481481,"Head",3.684210526,4.411429475,0.268653731,"Head",20,22,0.909090909090909,19,19,1,39.75,32.68421053,"PN_Sample_331.csv","MN_sample_331.csv"
"contour",0.705882353,0,1.764705882,0.117647059,0,3.882352941,0.526315789,1.631578947,1.315789474,0.263157895,0.526315789,1.686887144,0,2.250816845,0.48507125,0,1.72780037,1.073334423,1.832136771,1.887168119,0.561951487,0.964274111,3.882352941,4.007618292,0.6,"Visual",1.631578947,1.906642063,0.320987654,"Hand_arm",3.882352941,4.146594394,0.361695991,"Visual",17,19,0.894736842105263,19,20,0.95,38.64705882,36.52631579,"PN_Sample_708.csv","MN_sample_708.csv"
"contract",1.625,0,2,0.3125,0,3.375,0.05,1.75,2.35,0.95,0.1,1.995828984,0,2.19089023,0.87321246,0,2.061552813,0.223606798,1.860248993,2.109502311,1.731290969,0.447213595,3.375,3.702722432,0.461538462,"Visual",2.35,2.67753421,0.442307692,"Head",3.375,4.120512759,0.26973027,"Visual",16,17,0.941176470588235,20,20,1,37.0625,34.8,"PN_Sample_694.csv","MN_sample_694.csv"
